Entity,Code,Year,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
Estonia,EST,2000,687,3.733087,30.42509342,49.17733548
Estonia,EST,2001,678,3.66169799,30.07107515,48.84321544
Estonia,EST,2006,708,4.08870409,29.93732304,52.56866225
Estonia,EST,2002,686,3.73740125,30.16577629,49.73357016
Estonia,EST,2007,702,4.03239704,29.01300834,52.3614882
Estonia,EST,2003,707,3.89488762,30.61087283,51.57873235
Estonia,EST,2004,656,3.70935821,28.49578865,48.1450222
Estonia,EST,2009,609,3.78284365,24.80093663,45.63455637
Estonia,EST,2010,641,4.06184652,25.41622157,48.14209805
Estonia,EST,2008,704,4.22188906,28.61170994,52.65165397
Estonia,EST,2013,658,4.27995317,25.46489161,49.9242411
Estonia,EST,2011,650,4.27519074,25.71931711,48.96646852
Estonia,EST,2012,688,4.44645512,26.76531598,51.75648574
Estonia,EST,2014,715,4.62184874,26.91923846,54.39144343
Fiji,FJI,2001,24,0.41637752,5.51873005,2.94867463
Fiji,FJI,2003,25,0.4087639,4.61993174,3.06344017
Fiji,FJI,2002,11,0.19496632,2.5709851,1.34926778
Fiji,FJI,2006,39,0.63517915,7.04698604,4.71088456
Fiji,FJI,2004,32,0.56858564,5.91451098,3.91265009
Fiji,FJI,2005,24,0.40322581,4.39028146,2.92111528
Fiji,FJI,2007,48,0.76069731,7.66919805,5.74032218
Fiji,FJI,2009,34,0.53091818,5.79094433,3.98295763
Fiji,FJI,2012,33,0.48773278,5.22156116,3.81472461
Fiji,FJI,2008,16,0.24725699,2.71844791,1.89268253
Fiji,FJI,2011,49,0.73540447,7.91232291,5.67491537
Finland,FIN,2001,1894,3.90483259,21.09545576,36.5072683
Finland,FIN,2002,1852,3.74982284,20.38117558,35.61128247
Finland,FIN,2000,1846,3.74320707,21.05652442,35.66316584
Finland,FIN,2005,1949,4.08158991,20.1515909,37.15143604
Finland,FIN,2003,1927,3.93000632,20.72782548,36.96517984
Finland,FIN,2004,1871,3.91775028,19.72904597,35.78688689
Finland,FIN,2006,2005,4.16787927,19.98922085,38.0725022
Finland,FIN,2011,2106,4.16468913,19.15687846,39.08488658
Finland,FIN,2008,1998,4.07007537,19.30319861,37.60304844
Finland,FIN,2007,2033,4.14111992,20.20412311,38.44030314
Finland,FIN,2009,2028,4.0638025,19.19403754,37.98556268
Finland,FIN,2012,2168,4.19042465,19.11607876,40.04454401
Finland,FIN,2014,2152,4.10616497,18.00694826,39.40301142
Finland,FIN,2010,2214,4.34885091,20.37175477,41.28015465
Finland,FIN,2013,2225,4.32223474,19.14947606,40.90846579
France,FRA,2005,27850,5.27946072,27.89110583,45.65879834
France,FRA,2000,24831,4.67759254,27.17736707,42.16097127
France,FRA,2004,26860,5.27267338,27.39247225,44.29178017
France,FRA,2001,25085,4.72346499,27.04337832,42.37861029
France,FRA,2002,25799,4.82098143,27.23937573,43.23015287
France,FRA,2003,26214,4.74603275,27.25169468,43.57753292
France,FRA,2007,28641,5.50222367,27.41867556,46.22253994
France,FRA,2006,28347,5.49411573,27.60460938,46.01961874
France,FRA,2008,28991,5.44458509,27.14803209,46.53089551
France,FRA,2010,29653,5.47531648,26.85063824,47.11885625
France,FRA,2013,30211,5.43333016,25.93167217,47.3661955
France,FRA,2011,30010,5.59232839,26.80125046,47.46581801
France,FRA,2009,29700,5.52869804,27.45829651,47.43204278
France,FRA,2014,31413,5.76789603,26.41393328,48.98370927
France,FRA,2012,30557,5.47173258,26.60675738,48.10680735
French Guiana,GUF,2001,17,2.57575758,17.24089037,9.97336525
French Guiana,GUF,2002,13,1.9431988,12.63285551,7.28115916
French Guiana,GUF,2004,18,2.50347705,17.42767125,9.21592922
French Guiana,GUF,2003,14,1.94174757,12.85982677,7.48567029
French Guiana,GUF,2005,9,1.21621622,8.1554719,4.43413098
French Guiana,GUF,2006,7,0.96418733,6.30518659,3.33508028
French Guiana,GUF,2009,10,1.42450142,7.45220546,4.39483168
French Guiana,GUF,2010,17,2.20492866,12.62085795,7.29607471
French Guiana,GUF,2008,10,1.29198966,8.16906597,4.50458567
French Guiana,GUF,2007,16,2.27272727,11.85609792,7.40106853
French Guiana,GUF,2013,12,1.57480315,7.63500519,4.81823219
French Guiana,GUF,2011,10,1.44300144,6.72562216,4.19114118
French Guiana,GUF,2012,26,3.29949239,18.31337584,10.67034383
French Guiana,GUF,2014,19,2.43589744,12.68767813,7.45761914
Georgia,GEO,2000,827,2.00314884,14.02828917,18.71760632
Georgia,GEO,2004,924,1.89371426,15.54037639,21.39706138
Georgia,GEO,2001,825,2.09715549,13.96410993,18.80791984
Georgia,GEO,2005,637,1.56430343,10.7820524,14.60540194
Georgia,GEO,2007,497,1.20695517,8.13022784,11.32531219
Georgia,GEO,2006,568,1.34421962,9.09531857,12.91496135
Georgia,GEO,2009,774,1.66005362,12.47814121,17.5474393
Georgia,GEO,2011,745,1.49544341,11.52391424,16.61685328
Georgia,GEO,2013,812,1.67239923,12.10061519,18.09591728
Georgia,GEO,2010,392,0.81898713,6.08633367,8.77114472
Georgia,GEO,2014,916,1.86607452,16.34665214,24.5774081
Georgia,GEO,2012,839,1.70017022,12.7324466,18.68305609
Germany,DEU,2000,38990,4.64832373,27.04286916,47.44023838
Germany,DEU,2001,38569,4.65505026,26.17934739,46.84127333
Germany,DEU,2002,39132,4.64923974,26.23507919,47.44290076
Germany,DEU,2004,39846,4.86953589,25.82814027,48.29743599
Germany,DEU,2003,39323,4.60485792,25.97760454,47.65258862
Germany,DEU,2005,40681,4.89998518,25.85190617,49.33162386
Germany,DEU,2006,40771,4.96222739,25.60791566,49.49990779
Germany,DEU,2008,42346,5.01469023,25.72704508,51.56614163
Germany,DEU,2007,41522,5.01985722,25.54973089,50.47491667
Germany,DEU,2012,44465,5.11337631,25.31268046,54.28032101
Germany,DEU,2009,42261,4.94544459,25.26839659,51.61663355
Germany,DEU,2011,43944,5.15576163,25.40583816,53.73492847
Germany,DEU,2010,43008,5.00810463,25.21239469,52.60436688
Germany,DEU,2013,44848,5.01753699,25.61005663,55.61121403
Germany,DEU,2014,45084,5.19187983,25.24119665,55.67128701
Greece,GRC,2000,5595,5.31995816,30.07848745,51.24819818
Greece,GRC,2002,5666,5.45253332,28.8477406,51.56741365
Greece,GRC,2001,5630,5.4895231,29.75787655,51.4157458
Greece,GRC,2003,5757,5.45537246,29.31900821,52.22464089
Greece,GRC,2004,5966,5.68504507,29.60710627,53.93367315
Greece,GRC,2005,5988,5.69791895,29.10508024,53.92685778
Greece,GRC,2006,6038,5.75222925,28.80510401,54.15959212
Greece,GRC,2013,6991,6.2534662,30.821229,63.75600865
Greece,GRC,2007,6188,5.63082943,28.93658862,55.28529868
Greece,GRC,2010,6407,5.87345532,28.3824796,56.66122223
Greece,GRC,2009,6447,5.95202925,28.94797279,57.14031977
Greece,GRC,2008,6402,5.92893063,29.35900379,56.97215679
Greece,GRC,2012,6745,5.7813625,29.7651049,60.80530017
Greece,GRC,2011,6581,5.92354567,28.63812772,58.23880921
Greece,GRC,2014,7080,6.22472305,30.89951674,64.99963415
Grenada,GRD,2001,2,0.330033,2.1109484,1.93706477
Grenada,GRD,2002,7,0.78828829,7.00593151,6.75454002
Grenada,GRD,2005,7,0.88607595,6.65498598,6.68826019
Grenada,GRD,2003,10,1.22249389,10.67752562,9.61492236
Grenada,GRD,2004,7,0.78475336,8.39912236,6.70838644
Grenada,GRD,2007,11,1.46471372,9.28012286,10.4572678
Grenada,GRD,2006,17,2.14646465,15.98143288,16.20081385
Grenada,GRD,2008,11,1.28354726,9.28086557,10.43089061
Grenada,GRD,2009,8,1.01522843,7.04540659,7.56222292
Grenada,GRD,2010,9,1.08695652,7.23294915,8.47194375
Grenada,GRD,2011,11,1.36986301,8.71828567,10.30001124
Grenada,GRD,2012,14,1.63551402,11.9581424,13.02980102
Grenada,GRD,2013,9,1.09756098,6.89959135,8.32023666
Grenada,GRD,2014,20,2.0746888,15.93223815,18.36513563
Guadeloupe,GLP,2000,54,2.00148258,11.22022254,12.79466226
Guadeloupe,GLP,2002,56,2.02531646,11.67582719,13.45713901
Guadeloupe,GLP,2003,44,1.65289256,9.01799447,10.70924403
Guadeloupe,GLP,2004,46,1.72155689,8.43553548,11.32829142
Guadeloupe,GLP,2006,49,1.68153741,9.47566537,12.1947274
Guadeloupe,GLP,2008,64,2.29062276,10.48524816,15.84295669
Guadeloupe,GLP,2005,59,2.01571575,11.31405514,14.64368683
Guadeloupe,GLP,2007,64,2.31046931,11.34035784,15.90477019
Guadeloupe,GLP,2009,50,1.71115674,8.36263899,12.33203765
Guadeloupe,GLP,2012,50,1.73852573,7.64000104,12.36252868
Guadeloupe,GLP,2010,65,2.1537442,10.15793329,16.00705295
Guadeloupe,GLP,2011,52,1.83421517,8.14612876,12.8720996
Guadeloupe,GLP,2013,48,1.63154317,7.04903637,11.91572603
Guadeloupe,GLP,2014,57,1.73833486,8.15768273,14.20334202
Guadeloupe,GLP,2001,54,2.07055215,11.30259829,12.84986127
Guatemala,GTM,2000,341,0.50793178,5.58942916,2.92685196
Guatemala,GTM,2001,335,0.49303133,5.51827976,2.80923704
Guatemala,GTM,2002,342,0.51829961,5.45358413,2.8012471
Guatemala,GTM,2003,381,0.57196901,5.88354675,3.04788345
Guatemala,GTM,2004,394,0.58915007,5.86892282,3.07886465
Guatemala,GTM,2005,417,0.58773784,6.04620661,3.18417157
Guatemala,GTM,2006,372,0.53328746,5.14186343,2.77673671
Guatemala,GTM,2010,383,0.52647495,4.79353821,2.61783379
Guatemala,GTM,2009,381,0.53132888,4.9112679,2.66130903
Guatemala,GTM,2012,345,0.47483381,3.96238263,2.25921795
Guatemala,GTM,2008,418,0.62058317,5.44926373,2.98434405
Guatemala,GTM,2011,333,0.46023717,3.94246612,2.2276034
Guatemala,GTM,2007,411,0.60092991,5.61611231,2.9999284
Guyana,GUY,2001,36,0.77770577,8.38866706,4.83087898
Guyana,GUY,2002,16,0.31545741,3.51751995,2.14825944
Guyana,GUY,2003,20,0.40112314,4.86757225,2.68404857
Guyana,GUY,2004,14,0.27232056,3.20747633,1.87733745
Guyana,GUY,2006,28,0.55654939,5.67381868,3.75162626
Guyana,GUY,2007,15,0.29844807,3.14416146,2.00944708
Guyana,GUY,2008,17,0.33979612,3.33851023,2.2763274
Guyana,GUY,2005,27,0.51605505,5.88212192,3.61851231
Guyana,GUY,2009,20,0.43840421,4.18362862,2.67480521
Guyana,GUY,2010,31,0.57058715,6.68806678,4.13644394
Guyana,GUY,2012,8,0.14419611,1.74126444,1.05904297
Guyana,GUY,2011,21,0.38953812,4.38758392,2.79244922
Guyana,GUY,2013,37,0.6879881,6.23849297,4.87300552
Guyana,GUY,2014,26,0.46872183,4.29528701,3.40590532
"China, Hong Kong SAR",HKG,2002,3383,9.8583751,37.42416187,50.16236414
"China, Hong Kong SAR",HKG,2001,3269,9.81534304,37.72745768,48.68713045
"China, Hong Kong SAR",HKG,2000,3326,9.78551884,40.09015664,49.90247562
"China, Hong Kong SAR",HKG,2005,3686,9.52873355,37.02703884,54.10086303
"China, Hong Kong SAR",HKG,2003,3403,9.34299756,36.7596493,50.55862602
"China, Hong Kong SAR",HKG,2004,3528,9.45312291,36.67642737,52.00855016
"China, Hong Kong SAR",HKG,2008,3497,8.42041897,31.7207549,50.2601397
"China, Hong Kong SAR",HKG,2007,3648,9.12844381,33.92379445,52.74496479
"China, Hong Kong SAR",HKG,2006,3531,9.43739142,34.32707483,51.49407184
"China, Hong Kong SAR",HKG,2009,3692,8.9945672,32.06377766,52.94860028
"China, Hong Kong SAR",HKG,2010,3696,8.65594042,31.13615355,52.61809174
"China, Hong Kong SAR",HKG,2013,3867,8.91034356,29.13528277,53.8661912
"China, Hong Kong SAR",HKG,2012,3893,8.91417842,30.60626919,54.44679095
"China, Hong Kong SAR",HKG,2011,3789,8.98122689,30.86882117,53.58051926
"China, Hong Kong SAR",HKG,2014,3866,8.45766791,28.45725734,53.47534408
Hungary,HUN,2000,7824,5.76986895,51.73096648,78.05095279
Hungary,HUN,2001,7902,5.97807585,49.87487923,77.56507314
Hungary,HUN,2002,7939,5.97667748,49.98190478,78.1504787
Hungary,HUN,2004,8260,6.23433868,50.79040213,81.7243643
Hungary,HUN,2003,8201,6.03800535,51.07578778,80.96114033
Hungary,HUN,2005,7571,5.57790352,46.69382955,75.05652041
Hungary,HUN,2007,8155,6.13443861,49.4743481,81.09763738
Hungary,HUN,2006,7721,5.86688753,46.98735322,76.66285719
Hungary,HUN,2008,8330,6.40636176,49.97196134,82.98310412
Hungary,HUN,2009,8453,6.48166608,50.27123763,84.33897644
Hungary,HUN,2011,8533,6.62525719,49.56301275,85.57193754
Hungary,HUN,2010,8648,6.62905501,50.67011705,86.47979245
Hungary,HUN,2012,8896,6.87268232,50.31751394,89.67415149
Hungary,HUN,2013,8591,6.77641231,48.12988299,86.83846383
Hungary,HUN,2014,8733,6.91405137,48.13614894,88.51191734
Iceland,ISL,2000,107,5.85339168,29.56434495,38.05743472
Iceland,ISL,2001,106,6.14492754,29.61425009,37.1859367
Iceland,ISL,2005,129,7.022319,32.96554846,43.60111403
Iceland,ISL,2003,117,6.40744797,29.71847151,40.4463619
Iceland,ISL,2002,98,5.37870472,26.63144524,34.07996272
Iceland,ISL,2004,118,6.46929825,29.27748573,40.32988479
Iceland,ISL,2006,121,6.3583815,30.60634512,39.75894905
Iceland,ISL,2007,139,7.15388574,31.84918921,44.63769605
Iceland,ISL,2010,144,7.13224368,30.68414684,45.27718124
Iceland,ISL,2009,132,6.59340659,28.30959314,41.34742487
Iceland,ISL,2008,134,6.74383493,29.91274735,41.95957477
Iceland,ISL,2013,133,6.16311399,25.83491858,41.07930468
Iceland,ISL,2012,141,7.21227621,29.1780349,43.96413026
Iceland,ISL,2014,133,6.49414063,26.03927261,40.62489023
Iceland,ISL,2011,142,7.14285714,28.69590285,44.51222284
Iran (Islamic Republic of),IRN,2013,4360,1.63838942,7.8074738,5.70069065
Iran (Islamic Republic of),IRN,2014,4469,1.63806438,7.67004956,5.76899965
Iraq,IRQ,2008,1068,1.00522378,8.30644102,3.76245176
Ireland,IRL,2000,1568,4.99506228,31.98546132,41.37709735
Ireland,IRL,2001,1478,4.89209586,29.39814553,38.4175704
Ireland,IRL,2003,1574,5.41377175,30.39700453,39.5590498
Ireland,IRL,2004,1609,5.61311704,30.34268256,39.78967116
Ireland,IRL,2005,1587,5.61571125,29.21527058,38.4194337
Ireland,IRL,2002,1469,4.94896068,29.13915253,37.5012477
Ireland,IRL,2007,1668,5.93235409,29.6621689,38.44180699
Ireland,IRL,2010,1655,6.10205737,27.25563705,36.33911619
Ireland,IRL,2006,1623,5.69833579,29.16675672,38.27983669
Ireland,IRL,2008,1681,5.94539153,29.05772729,38.01381116
Ireland,IRL,2009,1754,6.0696242,29.43196837,39.33348358
Ireland,IRL,2011,1850,6.50126511,29.08387411,40.43814843
Ireland,IRL,2014,1934,6.61151374,28.67406173,41.79955062
Ireland,IRL,2012,1801,6.17076681,27.52989954,39.27677521
Ireland,IRL,2013,1831,6.20593818,27.22882518,39.8639288
Israel,ISR,2000,1303,3.4573339,19.08129166,20.71803659
Israel,ISR,2001,1342,3.60878802,19.00191118,20.84160967
Israel,ISR,2002,1403,3.66308974,19.40527599,21.35478208
Israel,ISR,2003,1387,3.61583983,18.65782309,20.73321281
Israel,ISR,2004,1468,3.88802076,19.36667893,21.5598033
Israel,ISR,2005,1416,3.64038358,18.27188082,20.43252451
Israel,ISR,2006,1579,4.09449227,19.69282451,22.38539253
Israel,ISR,2007,1551,3.88254731,18.79394779,21.60132533
Israel,ISR,2008,1561,3.97798221,18.43690376,21.35782693
Israel,ISR,2009,1609,4.1689338,18.2291201,21.49470347
Israel,ISR,2010,1803,4.57405246,20.05282727,23.65036497
Israel,ISR,2011,1836,4.51460608,19.37486855,23.64202574
Israel,ISR,2012,1761,4.20517229,18.28469119,22.26147985
Israel,ISR,2013,1846,4.4504448,18.49686519,22.90477082
Israel,ISR,2014,1949,4.62176903,19.03482877,23.72296588
Italy,ITA,2001,31968,5.74043082,28.76934374,56.12291368
Italy,ITA,2000,31534,5.62985498,28.94709251,55.39713248
Italy,ITA,2003,32264,5.47871699,27.55971536,56.00935952
Italy,ITA,2002,32293,5.76259391,28.31060484,56.49836474
Italy,ITA,2006,32677,5.84965647,26.20814151,55.43971659
Italy,ITA,2005,32184,5.66292704,26.48332867,55.51886575
Italy,ITA,2010,33734,5.77029327,24.86265486,55.77399387
Italy,ITA,2009,33394,5.67502439,25.16938363,55.4784901
Italy,ITA,2004,32067,5.88330266,26.94966221,55.58952626
Italy,ITA,2011,33819,5.69196823,24.95212191,56.95403572
Italy,ITA,2008,33109,5.69401689,25.40738106,55.33644362
Italy,ITA,2007,32934,5.74883789,25.90760112,55.46751949
Italy,ITA,2013,33483,5.58331027,23.68217321,55.58825399
Italy,ITA,2014,33386,5.57669501,23.14971702,54.92099411
Italy,ITA,2012,33538,5.46648846,24.28461528,56.32877881
Jamaica,JAM,2000,342,2.16743773,15.49112277,12.88280676
Jamaica,JAM,2001,346,2.15993508,15.28831135,12.93602054
Jamaica,JAM,2002,262,1.76324113,11.61789907,9.72948684
Jamaica,JAM,2004,332,2.3065166,13.98801555,12.18341917
Jamaica,JAM,2005,369,2.12692374,15.20418069,13.46713854
Jamaica,JAM,2006,365,2.66773863,14.67392896,13.25149116
Jamaica,JAM,2003,326,2.23150113,13.86815058,12.03201994
Jamaica,JAM,2012,377,2.41295443,13.37833676,13.26469003
Jamaica,JAM,2011,387,2.28642325,14.05074875,13.69461158
Jamaica,JAM,2009,426,2.4735803,16.24432418,15.23693978
Jamaica,JAM,2010,345,2.23445596,12.69944827,12.27557055
Jamaica,JAM,2013,408,2.56829913,14.21486726,14.27216173
Jamaica,JAM,2014,399,2.1779476,13.68239542,13.87758992
Japan,JPN,2000,53724,5.58663052,21.33872079,42.76958353
Japan,JPN,2002,56405,5.74167404,20.82004404,44.76303092
Japan,JPN,2003,56720,5.58844713,20.16279989,44.96591089
Japan,JPN,2001,55034,5.67167286,21.063005,43.70969279
Japan,JPN,2004,59922,5.82557685,20.73424749,47.49080649
Japan,JPN,2005,62063,5.72644667,20.67121125,49.17637827
Japan,JPN,2007,65608,5.91951524,20.52997453,52.03473847
Japan,JPN,2006,63255,5.83291069,20.52446327,50.14109739
Japan,JPN,2009,67583,5.91865063,19.96317013,53.71403592
Japan,JPN,2010,69813,5.83227236,19.9852917,55.23978909
Japan,JPN,2012,71518,5.69248121,19.51648736,56.77924388
Japan,JPN,2011,70293,5.60968058,19.73280446,55.70851165
Japan,JPN,2008,66849,5.8515923,20.41309814,53.07708798
Japan,JPN,2013,72734,5.7341482,19.36782412,57.86132502
Japan,JPN,2014,73396,5.76557497,19.08935192,58.51457363
Kazakhstan,KAZ,2000,3779,2.53871217,29.30815172,25.41525767
Kazakhstan,KAZ,2006,3285,2.08956173,23.44437251,21.4592499
Kazakhstan,KAZ,2005,3466,2.20597127,25.27218859,22.88237515
Kazakhstan,KAZ,2001,3627,2.45819976,27.48906511,24.40580577
Kazakhstan,KAZ,2002,3668,2.4667115,27.50476032,24.69329786
Kazakhstan,KAZ,2003,3650,2.35025949,27.15512612,24.48182704
Kazakhstan,KAZ,2004,3440,2.25944171,25.20341516,22.91349788
Kazakhstan,KAZ,2008,3194,2.09160085,22.15948697,20.37769815
Kazakhstan,KAZ,2007,3298,2.08346494,23.14699229,21.29914173
Kazakhstan,KAZ,2009,3196,2.2384401,21.8012629,20.06915066
Kazakhstan,KAZ,2010,3040,2.08400458,20.85630481,18.62369999
Kazakhstan,KAZ,2011,2939,2.03818387,19.64394304,17.75962162
Kazakhstan,KAZ,2013,3018,2.21486706,19.27465031,17.71617906
Kazakhstan,KAZ,2014,2764,2.09560635,17.20808789,15.98694207
Kazakhstan,KAZ,2012,3003,2.10176372,19.63370591,17.88412516
Republic of Korea,KOR,2000,11627,4.67435877,27.67944278,24.46032501
Republic of Korea,KOR,2001,11998,4.92098453,27.65258092,25.06002302
Republic of Korea,KOR,2002,12622,5.0993035,28.05110579,26.22712591
Republic of Korea,KOR,2003,12735,5.16710419,27.1533448,26.36188259
Republic of Korea,KOR,2004,13306,5.40411015,27.16364778,27.44336151
Republic of Korea,KOR,2007,14339,5.81746334,25.74085716,29.18562321
Republic of Korea,KOR,2006,14106,5.77731178,26.49026111,28.85428071
Republic of Korea,KOR,2005,13812,5.61751141,26.98899397,28.37127673
Republic of Korea,KOR,2008,14791,6.00984101,25.29776388,29.93847866
Republic of Korea,KOR,2011,15867,6.16443146,23.6800223,31.66340612
Republic of Korea,KOR,2012,16654,6.23229462,23.67898113,33.07953618
Republic of Korea,KOR,2009,14919,6.04149962,24.3554268,30.04425017
Republic of Korea,KOR,2010,15625,6.11773458,24.3880353,31.32529881
Republic of Korea,KOR,2014,17440,6.51495002,22.54402949,34.35562461
Republic of Korea,KOR,2013,17177,6.45128579,23.20554337,33.97420138
Kuwait,KWT,2001,58,1.32905591,8.12259538,2.58573034
Kuwait,KWT,2002,61,1.40488254,8.96006917,2.58110924
Kuwait,KWT,2000,73,1.72699314,13.28546665,3.33383874
Kuwait,KWT,2003,80,1.80831826,13.20901358,3.70091774
Kuwait,KWT,2005,72,1.50501672,12.1185123,3.17152953
Kuwait,KWT,2007,92,1.73814472,10.12276743,2.76431011
Kuwait,KWT,2006,84,1.60091481,13.45611352,3.53882086
Kuwait,KWT,2004,72,1.50219069,12.00427516,3.27199554
Kuwait,KWT,2009,67,1.12889638,7.03327701,1.94600843
Kuwait,KWT,2011,72,1.34856715,7.05535196,1.98237394
Kuwait,KWT,2010,82,1.5051395,7.71064995,2.29921347
Kuwait,KWT,2008,83,1.45588493,7.32590168,2.27995232
Kuwait,KWT,2012,105,1.76470588,9.02415764,2.75833589
Kuwait,KWT,2014,110,1.8239098,8.57168585,2.72314637
Kuwait,KWT,2013,95,1.60771704,8.34396784,2.44094895
Kyrgyzstan,KGZ,2000,400,1.17257351,12.98253998,8.1840595
Kyrgyzstan,KGZ,2001,400,1.22410258,12.53670463,8.11845145
Kyrgyzstan,KGZ,2002,438,1.24308216,13.38504731,8.82097943
Kyrgyzstan,KGZ,2005,397,1.07320502,12.37309668,7.76034795
Kyrgyzstan,KGZ,2006,412,1.0682431,12.38721044,7.97799313
Kyrgyzstan,KGZ,2004,418,1.19217386,12.88601789,8.25267072
Kyrgyzstan,KGZ,2003,447,1.24356656,13.62976628,8.92065289
Kyrgyzstan,KGZ,2007,359,0.94025824,10.75544234,6.89451205
Kyrgyzstan,KGZ,2010,437,1.20804998,12.7564861,8.02135111
Kyrgyzstan,KGZ,2009,425,1.18390997,12.77665863,7.89481946
Kyrgyzstan,KGZ,2008,350,0.92811116,10.41570501,6.6664927
Kyrgyzstan,KGZ,2011,416,1.15745249,11.69650391,7.54340085
Kyrgyzstan,KGZ,2013,477,1.36754587,12.88853479,8.33937661
Kyrgyzstan,KGZ,2014,496,1.39517876,13.29685361,8.49923987
Kyrgyzstan,KGZ,2012,408,1.12750788,11.41541632,7.27595541
Latvia,LVA,2005,1066,3.25228056,27.58637431,47.61481491
Latvia,LVA,2000,1039,3.22620711,27.40006023,43.88502883
Latvia,LVA,2001,1120,3.39486527,29.83685828,47.92120385
Latvia,LVA,2004,1049,3.27393028,27.3293105,46.35189795
Latvia,LVA,2002,1068,3.28635608,28.30562532,46.23030396
Latvia,LVA,2006,1155,3.48784539,29.84194126,52.06556023
Latvia,LVA,2003,1056,3.25554151,28.04859015,46.15475392
Latvia,LVA,2007,1064,3.21878025,27.26276866,48.35649279
Latvia,LVA,2013,995,3.46847004,25.13324009,49.43738271
Latvia,LVA,2009,1019,3.40381468,26.40178842,47.5797147
Latvia,LVA,2014,946,3.35449098,23.78202685,47.44751432
Latvia,LVA,2010,1005,3.3412015,26.02642035,47.91292719
Latvia,LVA,2008,1007,3.24514195,26.53748302,46.24947527
Latvia,LVA,2011,988,3.46059545,25.51813363,47.9679411
Latvia,LVA,2012,981,3.3764714,25.13931861,48.22252557
Lithuania,LTU,2000,1375,3.53297875,26.96134395,39.29092314
Lithuania,LTU,2001,1449,3.58672244,28.22753689,41.74808359
Lithuania,LTU,2003,1450,3.53744816,27.38115143,42.45708833
Lithuania,LTU,2008,1384,3.15751049,25.36329526,43.27392237
Lithuania,LTU,2002,1414,3.44273471,26.99898475,41.06803614
Lithuania,LTU,2004,1391,3.36477987,26.12452281,41.18949091
Lithuania,LTU,2005,1376,3.14162424,25.34142424,41.41424843
Lithuania,LTU,2007,1450,3.17815185,26.60719785,44.87366362
Lithuania,LTU,2006,1477,3.2959186,27.27856451,45.16945273
Lithuania,LTU,2010,1302,3.09116809,23.83487598,42.03685683
Lithuania,LTU,2009,1382,3.28797107,25.38020967,43.69385719
Lithuania,LTU,2011,1390,3.38718717,24.91558827,45.90314437
Lithuania,LTU,2012,1357,3.31476867,24.44297923,45.41844377
Lithuania,LTU,2013,1309,3.15338103,23.73867362,44.25752674
Lithuania,LTU,2014,1338,3.32405843,23.97210682,45.6286679
Luxembourg,LUX,2000,199,5.49268562,29.89509322,45.34992366
Luxembourg,LUX,2001,179,4.99024254,27.19634044,40.51607062
Luxembourg,LUX,2002,182,5.0513461,26.79208147,40.79034658
Luxembourg,LUX,2004,185,5.40303738,26.59273904,40.38349036
Luxembourg,LUX,2005,196,5.63056593,26.98521201,42.13531455
Luxembourg,LUX,2006,195,5.38227988,26.19411513,41.25674389
Luxembourg,LUX,2007,238,6.44811704,31.86209924,49.58271355
Luxembourg,LUX,2003,219,5.57251908,31.94453825,48.48994775
Luxembourg,LUX,2012,232,6.2348831,27.01633377,43.69435797
Luxembourg,LUX,2009,226,6.40226629,28.80490602,45.40039735
Luxembourg,LUX,2010,199,5.49571941,24.64365936,39.25312546
Luxembourg,LUX,2008,158,4.60104834,20.81376694,32.33325352
Luxembourg,LUX,2011,207,5.56152606,24.42533166,39.93456134
Luxembourg,LUX,2013,196,5.33914465,21.7295651,36.07184923
Maldives,MDV,2000,0,0,0,0
Luxembourg,LUX,2014,253,6.82860999,27.43734489,45.47750481
Maldives,MDV,2005,5,0.50251256,3.11037233,1.56441641
Maldives,MDV,2003,0,0,0,0
Maldives,MDV,2002,0,0,0,0
Maldives,MDV,2004,4,0.40363269,1.78287313,1.28507863
Maldives,MDV,2001,0,0,0,0
Maldives,MDV,2007,6,0.53619303,3.36230329,1.79014169
Maldives,MDV,2011,16,1.3536379,8.36563315,4.20504869
Maldives,MDV,2008,8,0.75046904,4.18237611,2.32929201
Maldives,MDV,2013,16,1.4022787,7.5926977,3.84992048
Maldives,MDV,2010,8,0.70113935,4.13672304,2.18738209
Maldives,MDV,2012,13,1.08423686,6.62420353,3.27260552
Maldives,MDV,2014,10,0.86430424,3.94709643,2.29877131
Malta,MLT,2001,136,4.63373083,24.0781649,34.6031326
Malta,MLT,2003,127,4.01390645,21.58487917,31.86295417
Malta,MLT,2000,121,4.069963,22.50887263,31.36266909
Malta,MLT,2002,135,4.45397559,23.34264501,34.09366413
Malta,MLT,2004,123,4.10136712,19.86826425,30.65290692
Malta,MLT,2005,122,3.89776358,18.85074662,30.20706697
Malta,MLT,2010,159,5.28239203,21.45544392,38.35373237
Malta,MLT,2007,126,4.05014465,18.28007531,30.97512648
Malta,MLT,2008,149,4.59451126,21.10427338,36.39214614
Malta,MLT,2006,134,4.16666667,20.31152711,33.05744348
Malta,MLT,2011,157,4.80563208,20.4121519,37.71155703
Malta,MLT,2009,152,4.71756673,20.69772796,36.84580515
Malta,MLT,2012,183,5.35087719,22.14112229,43.62263323
Malta,MLT,2013,154,4.75896168,18.28746852,36.36956198
